event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
ARRIVAL,2024-03-24 00:57:00,,2024-03-24 00:57:30,15,,,true,,57412,2024-03-24 01:12:00,false,AUTOMATIC,,,28,true,575D86M024,false,LATE,22270000,28,57412,true,UP,UP,DESTINATION,,
ARRIVAL,,,2024-03-24 01:49:30,2,,,false,2,00000,2024-03-24 01:47:00,false,AUTOMATIC,,,80,false,895W79M124,false,EARLY,24605004,80,89441,true,,,ARRIVAL,89428,
ARRIVAL,,,2024-03-24 02:45:00,1,,,true,1,87134,2024-03-24 02:46:00,false,AUTOMATIC,,,84,false,875K79M224,false,LATE,24676004,84,87134,true,,,ARRIVAL,87151,
DEPARTURE,2024-03-24 01:01:00,,2024-03-24 01:01:30,7,,,false,5,00000,2024-03-24 01:08:00,false,AUTOMATIC,, 1,80,false,631J76M923,false,LATE,24647004,80,89474,true,UP,UP,DEPARTURE,89475,1
DEPARTURE,2024-03-24 01:09:00,,2024-03-24 01:09:30,0,,,true,4,51305,2024-03-24 01:09:00,false,AUTOMATIC,, 2,79,false,522B78M024,false,ON TIME,21936004,79,51305,true,DOWN,DOWN,DEPARTURE,51301,D
ARRIVAL,2024-03-24 01:10:00,,2024-03-24 01:10:00,0,,,false,1,00000,2024-03-24 01:10:00,false,AUTOMATIC,, 2,84,false,872K77M024,false,ON TIME,24671405,84,87163,true,DOWN,DOWN,ARRIVAL,87161,
ARRIVAL,2024-03-24 01:17:00,,2024-03-24 01:16:30,6,,,false,7,00000,2024-03-24 01:10:00,false,AUTOMATIC,, 2,84,false,872S821024,false,EARLY,24671205,84,87216,true,UP,UP,ARRIVAL,87215,
ARRIVAL,,,2024-03-24 01:11:30,1,,,true,1,87249,2024-03-24 01:10:00,false,AUTOMATIC,,,88,false,629W211024,false,EARLY,22720000,88,87249,true,,,ARRIVAL,87611,
DEPARTURE,2024-03-24 01:15:00,,2024-03-24 01:15:00,6,,,true,1,53223,2024-03-24 01:09:00,false,AUTOMATIC,, 4,88,false,535E921124,false,EARLY,21788001,88,53223,true,UP,UP,DEPARTURE,53227,H
DEPARTURE,,,2024-03-24 01:16:30,6,,,false,1,00000,2024-03-24 01:10:00,false,AUTOMATIC,,,88,false,535E921124,false,EARLY,21788001,88,53227,true,UP,UP,DEPARTURE,53234,H
ARRIVAL,,,,0,,,false,,,2024-03-24 01:13:00,false,AUTOMATIC,,,84,false,875H86M124,true,OFF ROUTE,24676004,84,87157,,,,ARRIVAL,,
DEPARTURE,,,2024-03-24 01:11:30,2,,,false,4,00000,2024-03-24 01:09:00,false,AUTOMATIC,,,84,false,871B81M024,false,EARLY,24620204,84,86080,true,DOWN,DOWN,DEPARTURE,86083,
