event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
ARRIVAL,,,2024-03-24 01:13:30,4,,,false,4,00000,2024-03-24 01:09:00,false,AUTOMATIC,,,84,false,875C831024,false,EARLY,24676004,84,87097,true,,,ARRIVAL,87093,
ARRIVAL,,,2024-03-24 01:19:00,1,,,true,1,63633,2024-03-24 01:18:00,false,AUTOMATIC,,,88,false,875V86M024,false,EARLY,22788002,88,63633,true,,,ARRIVAL,63629,
DEPARTURE,,,,0,,,false,,,2024-03-24 01:11:00,false,AUTOMATIC,,,28,false,575D86M024,true,OFF ROUTE,22270000,28,57403,,,,DEPARTURE,,
ARRIVAL,,,,0,,,false,,,2024-03-24 01:22:00,false,AUTOMATIC,,,84,false,875Y37M124,true,OFF ROUTE,24676004,84,87214,,,,ARRIVAL,,
ARRIVAL,,,,0,,,false,,,2024-03-24 05:52:00,false,AUTOMATIC,,,84,false,875D061524,true,OFF ROUTE,24676004,84,87152,,,,ARRIVAL,,
ARRIVAL,,,2024-03-24 01:27:00,1,,,false,1,00000,2024-03-24 01:26:00,false,AUTOMATIC,,,80,false,885K72M124,false,EARLY,24653005,80,88411,true,,,ARRIVAL,88447,
ARRIVAL,,,2024-03-24 01:28:30,1,,,false,1,00000,2024-03-24 01:27:00,false,AUTOMATIC,,,84,false,871B01M124,false,EARLY,24620204,84,87271,true,,,ARRIVAL,87169,
ARRIVAL,,,2024-03-24 01:49:30,2,,,false,2,00000,2024-03-24 01:47:00,false,AUTOMATIC,,,80,false,895W79M124,false,EARLY,24605004,80,89441,true,,,ARRIVAL,89428,
ARRIVAL,,,2024-03-24 02:45:00,1,,,true,1,87134,2024-03-24 02:46:00,false,AUTOMATIC,,,84,false,875K79M224,false,LATE,24676004,84,87134,true,,,ARRIVAL,87151,
ARRIVAL,,,2024-03-24 05:16:30,16,,,true,1,87801,2024-03-24 05:32:00,false,AUTOMATIC,,,88,false,875Z052524,false,LATE,22788002,88,87801,true,,,ARRIVAL,87901,
DEPARTURE,,,,0,,,false,,,2024-03-24 06:13:00,false,AUTOMATIC,,,33,false,732Y01M524,true,OFF ROUTE,21381202,33,73255,,,,DEPARTURE,,
DEPARTURE,,,,0,,,false,,,2024-03-24 06:41:00,false,AUTOMATIC,,,33,false,745P161624,true,OFF ROUTE,21381008,33,73255,,,,DEPARTURE,,
ARRIVAL,2024-03-24 07:36:00,,2024-03-24 07:36:00,169,,,false,,00000,2024-03-24 04:47:00,false,MANUAL,IA0,,42,true,646J391B24,false,EARLY,53693803,42,64238,,,,ARRIVAL,,
ARRIVAL,,,2024-03-24 06:31:00,1,,,true,1,52226,2024-03-24 06:30:00,false,AUTOMATIC,,,21,false,525B201624,false,EARLY,21916400,21,52226,true,,,ARRIVAL,52701,
ARRIVAL,,,2024-03-24 06:40:30,1,,,true,1,87203,2024-03-24 06:41:00,false,AUTOMATIC,,,88,false,875L11M624,false,LATE,24788005,88,87203,true,,,ARRIVAL,87199,
ARRIVAL,,,2024-03-24 06:46:00,2,,,true,1,87637,2024-03-24 06:48:00,false,AUTOMATIC,,,88,false,871D10M624,false,LATE,24969000,88,87637,true,,,ARRIVAL,87700,
ARRIVAL,,,2024-03-24 07:02:00,1,,,true,1,87222,2024-03-24 07:03:00,false,AUTOMATIC,,,88,false,871A89M524,false,LATE,24747000,88,87222,true,,,ARRIVAL,87219,
ARRIVAL,,,2024-03-24 06:53:00,1,,,true,1,52226,2024-03-24 06:54:00,false,AUTOMATIC,,,21,false,521B18M624,false,LATE,21911000,21,52226,true,,,ARRIVAL,52203,
ARRIVAL,,,2024-03-24 06:58:30,0,,,true,1,87603,2024-03-24 06:58:00,false,AUTOMATIC,,,88,false,875F07M624,false,ON TIME,24788005,88,87603,true,,,ARRIVAL,87602,
ARRIVAL,,,2024-03-24 07:01:30,1,,,true,1,47412,2024-03-24 07:00:00,false,AUTOMATIC,,,21,false,521B14M624,false,EARLY,21911000,21,47412,true,,,ARRIVAL,47342,
ARRIVAL,,,2024-03-24 07:39:30,0,,,false,1,00000,2024-03-24 07:39:00,false,AUTOMATIC,,,74,false,702H11MA24,false,ON TIME,25211004,74,73505,true,,,ARRIVAL,73503,
ARRIVAL,,,2024-03-24 07:08:00,0,,,false,1,00000,2024-03-24 07:08:00,false,AUTOMATIC,,,25,false,742P11M624,false,ON TIME,25506005,25,73799,true,,,ARRIVAL,73775,
ARRIVAL,,,2024-03-24 07:05:30,5,,,true,1,86321,2024-03-24 07:10:00,false,AUTOMATIC,,,88,false,865S11M624,false,LATE,24788005,88,86321,true,,,ARRIVAL,86313,
ARRIVAL,,,2024-03-24 07:15:00,3,,,true,3,87685,2024-03-24 07:12:00,false,AUTOMATIC,,,84,false,875D121624,false,EARLY,24676004,84,87685,true,,,ARRIVAL,87681,
ARRIVAL,,,2024-03-24 07:25:00,2,,,true,2,87801,2024-03-24 07:23:00,false,AUTOMATIC,,,88,false,871D14MA24,false,EARLY,24969000,88,87801,true,,,ARRIVAL,87901,
ARRIVAL,,,2024-03-24 07:37:00,0,,,false,1,00000,2024-03-24 07:37:00,false,AUTOMATIC,,,25,false,871V35M624,false,ON TIME,25521007,25,87002,true,,,ARRIVAL,74234,
ARRIVAL,,,2024-03-24 07:41:00,2,,,true,2,52226,2024-03-24 07:39:00,false,AUTOMATIC,,,21,false,525H12MC24,false,EARLY,21916400,21,52226,true,,,ARRIVAL,52701,
ARRIVAL,,,2024-03-24 07:45:30,3,,,false,3,00000,2024-03-24 07:42:00,false,AUTOMATIC,,,80,false,885F261A24,false,EARLY,24653005,80,88402,true,,,ARRIVAL,88401,
ARRIVAL,,,2024-03-24 07:42:30,0,,,true,1,52701,2024-03-24 07:42:00,false,AUTOMATIC,,,21,false,525H12MC24,false,ON TIME,21916400,21,52701,true,,,ARRIVAL,52739,
ARRIVAL,,,2024-03-24 08:04:30,9,,,false,9,00000,2024-03-24 07:55:00,false,AUTOMATIC,,,23,false,365O90MB24,false,EARLY,12974820,23,36170,true,,,ARRIVAL,36056,
ARRIVAL,,,2024-03-24 07:49:30,0,,,true,1,87568,2024-03-24 07:49:00,false,AUTOMATIC,,,30,false,875E11MA24,false,ON TIME,22216001,30,87568,true,,,ARRIVAL,52088,
ARRIVAL,,,,0,,,false,,,2024-03-24 07:58:00,false,AUTOMATIC,,,86,false,731Y32MB24,true,OFF ROUTE,25905000,86,73253,,,,ARRIVAL,,
ARRIVAL,,,2024-03-24 07:57:00,1,,,false,1,00000,2024-03-24 07:58:00,false,AUTOMATIC,,,33,false,742Y23MB24,false,LATE,21381001,33,73799,true,,,ARRIVAL,73775,
ARRIVAL,,,2024-03-24 08:02:30,4,,,true,4,51722,2024-03-24 07:58:00,false,AUTOMATIC,,,21,false,521B24MB24,false,EARLY,21911000,21,51722,true,,,ARRIVAL,51720,
ARRIVAL,,,2024-03-24 07:59:00,0,,,true,1,87643,2024-03-24 07:59:00,false,AUTOMATIC,,,88,false,879T94M624,false,ON TIME,22721000,88,87643,true,,,ARRIVAL,87626,
ARRIVAL,,,,0,,,false,,,2024-03-24 08:05:00,false,AUTOMATIC,,,84,false,861L18M624,true,OFF ROUTE,24623104,84,87214,,,,ARRIVAL,,
ARRIVAL,,,2024-03-24 08:19:00,3,,,true,3,54103,2024-03-24 08:16:00,false,AUTOMATIC,,,61,false,545N09MB24,false,EARLY,21704001,61,54103,true,,,ARRIVAL,53309,
ARRIVAL,,,2024-03-24 08:20:00,3,,,true,3,87701,2024-03-24 08:17:00,false,AUTOMATIC,,,88,false,871D22MC24,false,EARLY,24969000,88,87701,true,,,ARRIVAL,87704,
ARRIVAL,,,2024-03-24 08:18:00,1,,,false,1,00000,2024-03-24 08:17:00,false,AUTOMATIC,,,30,false,883E12MC24,false,EARLY,22216001,30,52078,true,,,ARRIVAL,52074,
